Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"com.google.gson.DefaultInetAddressTypeAdapterTest.testInetAddressSerializationAndDeserialization()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,1,,,,7,,,4,5,0,,,,4,1,0,5,6,4,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"com.google.gson.DefaultMapJsonSerializerTest",1,1,1,1,9,0,8,0,1,4,4,0,,0,0,,,,3,1,,,,3,3,0,0,0,3,,40,,,,5,,,,29,,,18,21,6,,,,,,,21,25,18,,,7,,,,,,,,1,1,1,1,,2,0,,33,33,0.21,3,3,3,3
Public Method,"com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,7,,,4,5,0,,,,5,1,0,5,6,4,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,1,,,,8,,,5,6,0,,,,5,1,0,6,7,5,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Anonymous Class,"com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization.(Anon_1)",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,0,20,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,2,0,,0,0,0.00,0,0,0,0
Public Method,"com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,1,,,,11,,,7,9,0,,,,8,1,0,9,10,7,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Anonymous Class,"com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization.(Anon_2)",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,0,20,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,2,0,,0,0,0.00,0,0,0,0
Public Interface,"com.google.gson.ExclusionStrategy",0,0,0,0,0,0,0,0,0,1,1,3,,0,0,,,,2,0,,,,2,2,0,0,0,2,,14,,,,2,,,,4,,,3,0,8,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,2.00,0,0,0,0
Public Abstract Method,"com.google.gson.ExclusionStrategy.shouldSkipClass(Class<?>)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,1,,,1,0,4,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,4.00,0,0,0,0
Public Abstract Method,"com.google.gson.ExclusionStrategy.shouldSkipField(FieldAttributes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,1,,,1,0,4,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,4.00,0,0,0,0
